model,group,paper,nodes,material_edges,logical_edges,inter_edges,material_edge_density,logical_edge_density,material_isolated_rate,logical_isolated_rate,combined_isolated_rate,material_pass,logical_pass,combined_pass,mean_total_score_100,mean_repro_score_100,num_units
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-025-01197-x,10,0,1,0,0.0,0.011111111111111112,1.0,0.8,0.8,False,False,False,70.6,15.8,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-025-01236-7,10,8,15,8,0.08888888888888889,0.16666666666666666,0.6,0.0,0.0,False,True,True,53.6,31.5,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-025-01299-6,10,9,18,9,0.1,0.2,0.6,0.0,0.0,False,True,True,53.3,26.2,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41467-020-19142-9,6,1,0,1,0.03333333333333333,0.0,0.667,1.0,0.667,False,False,False,65.83333333333333,19.0,6.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41467-021-27464-5,10,6,6,6,0.06666666666666667,0.06666666666666667,0.5,0.3,0.1,False,False,False,71.2,22.9,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41467-024-55567-2,10,8,5,8,0.08888888888888889,0.05555555555555555,0.6,0.4,0.1,False,False,False,73.5,15.7,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41467-025-68247-6,10,30,10,30,0.3333333333333333,0.1111111111111111,0.4,0.0,0.0,False,True,True,57.8,23.0,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41586-018-0024-3,1,0,0,0,,,1.0,1.0,1.0,False,False,False,83.0,8.0,1.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41586-019-1654-9,1,0,0,0,,,1.0,1.0,1.0,False,False,False,83.0,8.0,1.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41586-021-03209-8,10,2,13,2,0.022222222222222223,0.14444444444444443,0.8,0.0,0.0,False,True,True,64.8,17.0,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41586-023-06473-y,10,0,2,0,0.0,0.022222222222222223,1.0,0.6,0.6,False,False,False,83.0,8.0,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41586-023-06564-w,10,14,2,14,0.15555555555555556,0.022222222222222223,0.5,0.6,0.3,False,False,False,62.1,21.3,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41586-024-08172-8,10,0,9,0,0.0,0.1,1.0,0.1,0.1,False,False,False,83.0,8.0,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41587-023-01718-7,10,0,4,0,0.0,0.044444444444444446,1.0,0.3,0.3,False,False,False,83.0,8.0,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41587-023-01747-2,10,0,1,0,0.0,0.011111111111111112,1.0,0.8,0.8,False,False,False,80.5,8.5,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41588-021-00972-2,8,0,2,0,0.0,0.03571428571428571,1.0,0.5,0.5,False,False,False,83.0,8.0,8.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41588-025-02182-6,6,0,2,0,0.0,0.06666666666666667,1.0,0.5,0.5,False,False,False,83.0,8.0,6.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41591-024-02807-z,8,0,2,0,0.0,0.03571428571428571,1.0,0.5,0.5,False,False,False,83.0,8.0,8.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41592-021-01344-8,7,0,2,0,0.0,0.047619047619047616,1.0,0.571,0.571,False,False,False,79.42857142857143,10.428571428571429,7.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41592-021-01391-1,10,0,1,0,0.0,0.011111111111111112,1.0,0.8,0.8,False,False,False,83.0,8.0,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41592-024-02555-5,10,0,4,0,0.0,0.044444444444444446,1.0,0.5,0.5,False,False,False,83.0,8.0,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41592-025-02927-5,7,0,1,0,0.0,0.023809523809523808,1.0,0.714,0.714,False,False,False,83.0,8.0,7.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,s41593-021-00923-4,1,0,0,0,,,1.0,1.0,1.0,False,False,False,83.0,8.0,1.0
