model,group,paper,nodes,material_edges,logical_edges,inter_edges,material_edge_density,logical_edge_density,material_isolated_rate,logical_isolated_rate,combined_isolated_rate,material_pass,logical_pass,combined_pass,mean_total_score_100,mean_repro_score_100,num_units
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41587-023-01718-7,10,0,4,0,0.0,0.044444444444444446,1.0,0.3,0.3,False,False,False,75.5,11.3,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41587-023-01747-2,8,0,1,0,0.0,0.017857142857142856,1.0,0.75,0.75,False,False,False,76.375,11.375,8.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41588-021-00972-2,10,0,2,0,0.0,0.022222222222222223,1.0,0.7,0.7,False,False,False,83.0,8.0,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41588-025-02182-6,7,0,1,0,0.0,0.023809523809523808,1.0,0.714,0.714,False,False,False,83.0,8.0,7.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41591-024-02807-z,10,0,2,0,0.0,0.022222222222222223,1.0,0.6,0.6,False,False,False,78.9,9.7,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41592-021-01344-8,7,0,2,0,0.0,0.047619047619047616,1.0,0.571,0.571,False,False,False,62.714285714285715,17.714285714285715,7.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41592-021-01391-1,10,0,1,0,0.0,0.011111111111111112,1.0,0.8,0.8,False,False,False,81.4,10.1,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41592-024-02555-5,10,0,5,0,0.0,0.05555555555555555,1.0,0.4,0.4,False,False,False,83.0,9.3,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41592-025-02927-5,8,0,1,0,0.0,0.017857142857142856,1.0,0.75,0.75,False,False,False,76.75,14.125,8.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41593-021-00923-4,1,0,0,0,,,1.0,1.0,1.0,False,False,False,83.0,8.0,1.0
