run,group,paper,unit,default_100,repro_100,viability_pass
no_rulepack,nat_protocols,s41596-020-0379-4,unit_003,58,18,True
no_rulepack,nat_protocols,s41596-020-0379-4,unit_005,58,34,True
no_rulepack,nat_protocols,s41596-020-0379-4,unit_008,50,32,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_009,58,34,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_001,58,28,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_007,61,32,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_006,42,19,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_002,57,28,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_010,46,30,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_005,44,26,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_008,42,24,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_009,50,31,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_001,50,19,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_007,58,34,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_006,58,34,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_002,50,27,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_010,67,34,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_004,50,31,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_009,50,18,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_001,58,31,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_007,58,31,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_006,83,8,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_002,75,11,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_004,83,8,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_003,75,11,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_005,83,8,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_008,50,31,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_009,50,25,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_001,48,24,True
