group,paper,unit,total_score_100
nat_siblings,s41587-023-01718-7,unit_009,83.000000
nat_siblings,s41587-023-01718-7,unit_010,58.000000
nat_siblings,s41587-023-01747-2,unit_001,58.000000
nat_siblings,s41587-023-01747-2,unit_002,58.000000
nat_siblings,s41587-023-01747-2,unit_003,50.000000
nat_siblings,s41587-023-01747-2,unit_004,83.000000
nat_siblings,s41587-023-01747-2,unit_005,58.000000
nat_siblings,s41587-023-01747-2,unit_006,83.000000
nat_siblings,s41587-023-01747-2,unit_007,83.000000
nat_siblings,s41587-023-01747-2,unit_008,83.000000
nat_siblings,s41587-023-01747-2,unit_009,83.000000
nat_siblings,s41587-023-01747-2,unit_010,83.000000
nat_siblings,s41588-021-00972-2,unit_001,83.000000
nat_siblings,s41588-021-00972-2,unit_002,83.000000
nat_siblings,s41588-021-00972-2,unit_003,83.000000
nat_siblings,s41588-021-00972-2,unit_004,83.000000
nat_siblings,s41588-021-00972-2,unit_005,83.000000
nat_siblings,s41588-025-02182-6,unit_001,83.000000
nat_siblings,s41588-025-02182-6,unit_002,83.000000
nat_siblings,s41588-025-02182-6,unit_003,83.000000
nat_siblings,s41588-025-02182-6,unit_004,83.000000
nat_siblings,s41588-025-02182-6,unit_005,83.000000
nat_siblings,s41588-025-02182-6,unit_006,75.000000
nat_siblings,s41588-025-02182-6,unit_007,83.000000
nat_siblings,s41588-025-02182-6,unit_008,58.000000
nat_siblings,s41588-025-02182-6,unit_009,83.000000
nat_siblings,s41588-025-02182-6,unit_010,83.000000
nat_siblings,s41591-024-02807-z,unit_001,58.000000
nat_siblings,s41591-024-02807-z,unit_002,58.000000
nat_siblings,s41591-024-02807-z,unit_003,83.000000
nat_siblings,s41591-024-02807-z,unit_004,50.000000
nat_siblings,s41591-024-02807-z,unit_005,83.000000
nat_siblings,s41591-024-02807-z,unit_006,83.000000
nat_siblings,s41591-024-02807-z,unit_007,83.000000
nat_siblings,s41591-024-02807-z,unit_008,83.000000
nat_siblings,s41591-024-02807-z,unit_009,58.000000
nat_siblings,s41591-024-02807-z,unit_010,83.000000
nat_siblings,s41592-021-01344-8,unit_001,50.000000
nat_siblings,s41592-021-01344-8,unit_002,75.000000
nat_siblings,s41592-021-01344-8,unit_003,58.000000
nat_siblings,s41592-021-01344-8,unit_004,58.000000
nat_siblings,s41592-021-01344-8,unit_005,75.000000
nat_siblings,s41592-021-01344-8,unit_006,83.000000
nat_siblings,s41592-021-01344-8,unit_007,83.000000
nat_siblings,s41592-021-01344-8,unit_008,83.000000
nat_siblings,s41592-021-01344-8,unit_009,83.000000
nat_siblings,s41592-021-01344-8,unit_010,83.000000
nat_siblings,s41592-021-01391-1,unit_001,83.000000
nat_siblings,s41592-021-01391-1,unit_002,50.000000
nat_siblings,s41592-021-01391-1,unit_003,83.000000
nat_siblings,s41592-021-01391-1,unit_004,83.000000
nat_siblings,s41592-021-01391-1,unit_005,50.000000
nat_siblings,s41592-021-01391-1,unit_006,83.000000
nat_siblings,s41592-021-01391-1,unit_007,83.000000
nat_siblings,s41592-021-01391-1,unit_008,58.000000
nat_siblings,s41592-021-01391-1,unit_009,83.000000
nat_siblings,s41592-021-01391-1,unit_010,83.000000
nat_siblings,s41592-024-02555-5,unit_001,58.000000
nat_siblings,s41592-024-02555-5,unit_002,75.000000
nat_siblings,s41592-024-02555-5,unit_003,83.000000
nat_siblings,s41592-024-02555-5,unit_004,83.000000
nat_siblings,s41592-024-02555-5,unit_005,75.000000
nat_siblings,s41592-024-02555-5,unit_006,83.000000
nat_siblings,s41592-024-02555-5,unit_007,83.000000
nat_siblings,s41592-024-02555-5,unit_008,83.000000
nat_siblings,s41592-024-02555-5,unit_009,83.000000
nat_siblings,s41592-024-02555-5,unit_010,83.000000
nat_siblings,s41592-025-02927-5,unit_001,50.000000
nat_siblings,s41592-025-02927-5,unit_002,75.000000
nat_siblings,s41592-025-02927-5,unit_003,50.000000
nat_siblings,s41592-025-02927-5,unit_004,58.000000
nat_siblings,s41592-025-02927-5,unit_005,83.000000
nat_siblings,s41592-025-02927-5,unit_006,83.000000
nat_siblings,s41592-025-02927-5,unit_007,83.000000
nat_siblings,s41592-025-02927-5,unit_008,83.000000
nat_siblings,s41592-025-02927-5,unit_009,83.000000
nat_siblings,s41593-021-00923-4,unit_001,83.000000
nat_siblings,s41593-021-00923-4,unit_002,83.000000
nat_siblings,s41593-021-00923-4,unit_003,83.000000
nat_siblings,s41593-021-00923-4,unit_004,83.000000
nat_siblings,s41593-021-00923-4,unit_005,83.000000
nat_siblings,s41593-021-00923-4,unit_006,83.000000
